Taxon_Old,Taxon_New
Xenopipo_flavicapilla,Chloropipo_flavicapilla
Xenopipo_unicolor,Chloropipo_unicolor
Xenopipo_holochlora,Cryptopipo_holochlora
Pipra_pipra,Pseudopipra_pipra
Pipra_cornuta,Ceratopipra_cornuta
Pipra_mentalis,Ceratopipra_mentalis
Pipra_erythrocephala,Ceratopipra_erythrocephala
Pipra_rubrocapilla,Ceratopipra_rubrocapilla
Pipra_chloromeros,Ceratopipra_chloromeros
