Iteration	Posterior	Likelihood	Prior	mu_plumage
57000	-745.9605	-745.9524	-0.008011699	0.008011699
57500	-744.7461	-744.736	-0.01004225	0.01004225
58000	-744.8273	-744.8171	-0.01011668	0.01011668
58500	-745.0377	-745.0274	-0.01028448	0.01028448
59000	-744.6664	-744.6565	-0.009961296	0.009961296
59500	-744.3944	-744.3853	-0.009183844	0.009183844
60000	-745.0825	-745.0722	-0.0103168	0.0103168
60500	-745.0587	-745.0484	-0.01029975	0.01029975
61000	-744.6598	-744.6511	-0.008760379	0.008760379
61500	-745.9884	-745.9775	-0.01083878	0.01083878
62000	-745.3462	-745.3357	-0.01049034	0.01049034
62500	-745.3263	-745.318	-0.008299068	0.008299068
63000	-744.8174	-744.8073	-0.01010799	0.01010799
63500	-744.9014	-744.8913	-0.01017933	0.01017933
64000	-744.3844	-744.3752	-0.009228426	0.009228426
64500	-744.6625	-744.6526	-0.009957083	0.009957083
65000	-744.3815	-744.372	-0.009443123	0.009443123
65500	-744.3922	-744.383	-0.009192531	0.009192531
66000	-744.855	-744.8449	-0.01014066	0.01014066
66500	-745.9537	-745.9457	-0.008014379	0.008014379
67000	-745.6917	-745.6836	-0.008123948	0.008123948
67500	-744.6859	-744.6759	-0.009981975	0.009981975
68000	-744.3739	-744.3646	-0.00932398	0.00932398
68500	-744.8479	-744.8393	-0.008597646	0.008597646
69000	-744.7592	-744.7505	-0.008669113	0.008669113
69500	-744.4733	-744.4643	-0.008996354	0.008996354
70000	-745.4829	-745.4747	-0.008220191	0.008220191
70500	-745.5601	-745.5495	-0.01061562	0.01061562
71000	-745.8729	-745.8621	-0.01078154	0.01078154
71500	-745.3894	-745.3788	-0.01051657	0.01051657
72000	-744.374	-744.3646	-0.009364075	0.009364075
72500	-746.6885	-746.6807	-0.007752785	0.007752785
73000	-744.403	-744.3935	-0.0095364	0.0095364
73500	-745.258	-745.2476	-0.01043507	0.01043507
74000	-744.3803	-744.371	-0.009253195	0.009253195
74500	-744.9742	-744.9639	-0.01023683	0.01023683
75000	-744.4046	-744.3951	-0.00954173	0.00954173
75500	-744.4783	-744.4686	-0.009709597	0.009709597
76000	-744.4247	-744.4151	-0.009598389	0.009598389
76500	-746.7063	-746.6986	-0.007747064	0.007747064
77000	-744.4095	-744.4004	-0.009134083	0.009134083
77500	-744.9303	-744.9218	-0.008537349	0.008537349
78000	-744.393	-744.3838	-0.009189323	0.009189323
78500	-744.8951	-744.8865	-0.008562489	0.008562489
79000	-745.0781	-745.0678	-0.01031364	0.01031364
79500	-744.423	-744.4139	-0.009098239	0.009098239
80000	-744.8372	-744.8271	-0.01012535	0.01012535
80500	-744.3984	-744.3889	-0.009520473	0.009520473
81000	-745.3105	-745.3001	-0.01046828	0.01046828
81500	-744.8068	-744.7982	-0.008629757	0.008629757
82000	-744.3742	-744.3649	-0.009316553	0.009316553
