Iteration	Posterior	Likelihood	Prior	mu_plumage
0	-1829.072	-1828.699	-0.3728435	0.3728435
500	-744.3922	-744.3827	-0.009496908	0.009496908
1000	-744.6621	-744.6522	-0.009956652	0.009956652
1500	-745.8216	-745.8135	-0.008068259	0.008068259
2000	-745.3534	-745.3429	-0.01049474	0.01049474
2500	-744.4608	-744.4512	-0.009677359	0.009677359
3000	-744.6486	-744.6398	-0.00877168	0.00877168
3500	-744.4217	-744.4121	-0.009590575	0.009590575
4000	-744.3855	-744.376	-0.009465982	0.009465982
4500	-745.4144	-745.4038	-0.01053154	0.01053154
5000	-744.5763	-744.5675	-0.008851038	0.008851038
5500	-745.0165	-745.008	-0.008479218	0.008479218
6000	-744.374	-744.3646	-0.009365512	0.009365512
6500	-745.6425	-745.6344	-0.008145821	0.008145821
7000	-744.5188	-744.5091	-0.009775752	0.009775752
7500	-744.9731	-744.9628	-0.01023602	0.01023602
8000	-745.3087	-745.2982	-0.01046714	0.01046714
8500	-745.0222	-745.0137	-0.008475562	0.008475562
9000	-744.3865	-744.377	-0.009470782	0.009470782
9500	-745.5364	-745.5258	-0.01060228	0.01060228
10000	-744.8724	-744.8623	-0.01015536	0.01015536
10500	-744.4507	-744.4411	-0.009657188	0.009657188
11000	-744.4868	-744.4779	-0.008973762	0.008973762
11500	-744.4998	-744.4908	-0.008953482	0.008953482
12000	-744.3987	-744.3892	-0.009521693	0.009521693
12500	-744.7618	-744.7531	-0.00866685	0.00866685
13000	-745.305	-745.2967	-0.008310343	0.008310343
13500	-745.0063	-744.9979	-0.008485848	0.008485848
14000	-744.5671	-744.5583	-0.00886215	0.00886215
14500	-746.0439	-746.0359	-0.007979025	0.007979025
15000	-745.1512	-745.1428	-0.008396177	0.008396177
15500	-744.613	-744.6042	-0.008809178	0.008809178
16000	-744.6545	-744.6445	-0.009948268	0.009948268
16500	-745.8509	-745.8429	-0.008056065	0.008056065
17000	-744.3778	-744.3684	-0.009416239	0.009416239
17500	-745.062	-745.0517	-0.01030214	0.01030214
18000	-744.6967	-744.6868	-0.009993233	0.009993233
18500	-744.3766	-744.3673	-0.009283243	0.009283243
19000	-744.3843	-744.3751	-0.009228807	0.009228807
19500	-744.4171	-744.4079	-0.009113365	0.009113365
20000	-744.5147	-744.5049	-0.009769417	0.009769417
20500	-744.3738	-744.3644	-0.009357253	0.009357253
21000	-744.4401	-744.4304	-0.009634468	0.009634468
21500	-744.495	-744.4853	-0.009738228	0.009738228
22000	-744.3737	-744.3644	-0.009356191	0.009356191
22500	-744.5188	-744.5099	-0.008925504	0.008925504
23000	-745.0498	-745.0414	-0.00845786	0.00845786
23500	-744.5509	-744.5411	-0.009821903	0.009821903
24000	-746.7651	-746.754	-0.01118413	0.01118413
24500	-746.168	-746.157	-0.01092424	0.01092424
25000	-745.148	-745.1377	-0.01036237	0.01036237
25500	-744.6145	-744.6046	-0.00990268	0.00990268
26000	-744.4696	-744.4606	-0.009002629	0.009002629
26500	-744.3737	-744.3644	-0.009355362	0.009355362
27000	-745.12	-745.1097	-0.01034312	0.01034312
27500	-744.6569	-744.6481	-0.008763296	0.008763296
28000	-744.3753	-744.3659	-0.009389855	0.009389855
28500	-745.2909	-745.2826	-0.008317882	0.008317882
29000	-747.2697	-747.2621	-0.007577905	0.007577905
29500	-744.5747	-744.5659	-0.008852956	0.008852956
30000	-744.492	-744.4823	-0.009733234	0.009733234
30500	-744.8411	-744.8309	-0.01012869	0.01012869
31000	-745	-744.9915	-0.008490002	0.008490002
31500	-744.5669	-744.557	-0.00984331	0.00984331
32000	-744.4542	-744.4446	-0.009664308	0.009664308
32500	-744.6921	-744.6821	-0.009988467	0.009988467
33000	-744.5214	-744.5124	-0.008921925	0.008921925
33500	-744.5181	-744.5092	-0.008926488	0.008926488
34000	-744.5812	-744.5714	-0.009861886	0.009861886
34500	-744.8813	-744.8727	-0.008572577	0.008572577
35000	-745.7731	-745.765	-0.008088703	0.008088703
35500	-744.3762	-744.3669	-0.009287356	0.009287356
36000	-744.9793	-744.9708	-0.008503746	0.008503746
36500	-744.4487	-744.439	-0.009652976	0.009652976
37000	-744.4117	-744.4026	-0.009127837	0.009127837
37500	-744.4048	-744.3952	-0.009542115	0.009542115
38000	-744.4615	-744.4518	-0.009678668	0.009678668
38500	-744.3771	-744.3678	-0.00927832	0.00927832
39000	-744.4279	-744.4189	-0.009086348	0.009086348
39500	-744.4058	-744.3967	-0.009145086	0.009145086
40000	-744.4677	-744.458	-0.00969033	0.00969033
40500	-744.8111	-744.8025	-0.008626316	0.008626316
41000	-744.86	-744.8514	-0.008588436	0.008588436
41500	-745.7112	-745.7031	-0.008115391	0.008115391
42000	-746.5107	-746.5029	-0.007811201	0.007811201
42500	-744.3803	-744.3709	-0.009435561	0.009435561
43000	-745.7009	-745.6928	-0.008119891	0.008119891
43500	-744.4274	-744.4183	-0.009087638	0.009087638
44000	-744.3742	-744.3649	-0.009317627	0.009317627
44500	-744.8503	-744.8417	-0.008595783	0.008595783
45000	-744.3869	-744.3774	-0.009472735	0.009472735
45500	-745.048	-745.0377	-0.01029197	0.01029197
46000	-744.4479	-744.4389	-0.009043227	0.009043227
46500	-745.5623	-745.5517	-0.01061687	0.01061687
47000	-744.3823	-744.3729	-0.009448271	0.009448271
47500	-744.8801	-744.8715	-0.008573448	0.008573448
48000	-745.3821	-745.3716	-0.0105122	0.0105122
48500	-745.1231	-745.1147	-0.008412818	0.008412818
49000	-744.9046	-744.8944	-0.01018192	0.01018192
49500	-745.9214	-745.9106	-0.01080583	0.01080583
50000	-744.3924	-744.3832	-0.00919181	0.00919181
50500	-747.3944	-747.3829	-0.0114286	0.0114286
51000	-744.4967	-744.4877	-0.008958203	0.008958203
51500	-744.6578	-744.6478	-0.009951928	0.009951928
52000	-744.4837	-744.4747	-0.00897888	0.00897888
52500	-745.6952	-745.6871	-0.008122403	0.008122403
53000	-744.6028	-744.5929	-0.009888709	0.009888709
53500	-744.5145	-744.5055	-0.008931748	0.008931748
54000	-744.9462	-744.9377	-0.008526314	0.008526314
54500	-745.8493	-745.8413	-0.008056717	0.008056717
55000	-744.8895	-744.8794	-0.01016956	0.01016956
55500	-744.3965	-744.3873	-0.00917627	0.00917627
56000	-744.4043	-744.3951	-0.00914991	0.00914991
56500	-744.3737	-744.3643	-0.009352908	0.009352908
57000	-744.588	-744.5782	-0.009870483	0.009870483
57500	-744.4018	-744.3923	-0.009532452	0.009532452
58000	-744.3761	-744.3668	-0.009288352	0.009288352
58500	-744.3744	-744.3651	-0.009312131	0.009312131
59000	-744.7392	-744.7292	-0.01003561	0.01003561
59500	-744.921	-744.9108	-0.01019517	0.01019517
60000	-744.7472	-744.7385	-0.008679397	0.008679397
60500	-744.515	-744.5061	-0.008930974	0.008930974
61000	-746.3908	-746.3829	-0.007852156	0.007852156
61500	-744.8772	-744.8671	-0.01015937	0.01015937
62000	-745.0242	-745.0157	-0.008474248	0.008474248
62500	-745.1788	-745.1684	-0.01038315	0.01038315
63000	-748.1047	-748.0973	-0.007359113	0.007359113
63500	-745.0453	-745.035	-0.01029003	0.01029003
64000	-744.7778	-744.7692	-0.008653414	0.008653414
64500	-744.3982	-744.3887	-0.009519999	0.009519999
65000	-744.8239	-744.8138	-0.01011377	0.01011377
65500	-744.9677	-744.9592	-0.008511568	0.008511568
66000	-747.815	-747.8034	-0.01157985	0.01157985
66500	-744.5513	-744.5415	-0.009822393	0.009822393
67000	-745.0994	-745.0909	-0.008427142	0.008427142
67500	-744.5081	-744.4992	-0.008941002	0.008941002
68000	-744.5696	-744.5598	-0.009846974	0.009846974
68500	-744.3801	-744.3708	-0.009254607	0.009254607
69000	-744.3958	-744.3863	-0.00951088	0.00951088
69500	-744.3739	-744.3646	-0.009324636	0.009324636
70000	-744.6143	-744.6044	-0.009902459	0.009902459
70500	-744.4063	-744.3968	-0.009546988	0.009546988
71000	-744.7089	-744.7002	-0.008713504	0.008713504
71500	-744.4049	-744.3953	-0.009542423	0.009542423
72000	-744.7829	-744.7743	-0.008649187	0.008649187
72500	-744.4241	-744.4145	-0.009596759	0.009596759
73000	-744.3744	-744.365	-0.00937533	0.00937533
73500	-744.4126	-744.4035	-0.009125333	0.009125333
74000	-744.492	-744.4823	-0.009733184	0.009733184
74500	-744.6137	-744.6038	-0.009901785	0.009901785
75000	-744.4518	-744.4421	-0.009659303	0.009659303
75500	-746.084	-746.0731	-0.0108848	0.0108848
76000	-744.689	-744.6803	-0.00873205	0.00873205
76500	-744.5723	-744.5624	-0.009850413	0.009850413
77000	-744.4169	-744.4073	-0.009577779	0.009577779
77500	-744.539	-744.5301	-0.008897863	0.008897863
78000	-745.3164	-745.306	-0.01047196	0.01047196
78500	-744.4735	-744.4638	-0.009701033	0.009701033
79000	-744.8553	-744.8467	-0.008591985	0.008591985
79500	-745.1908	-745.1824	-0.008373279	0.008373279
80000	-744.5404	-744.5306	-0.009807213	0.009807213
80500	-744.5036	-744.4947	-0.008947653	0.008947653
81000	-744.3895	-744.3803	-0.009204106	0.009204106
