Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_plumage
110	0	-543.9602	-543.9465	-0.01371527	0.01371527
111	1	-545.9183	-545.9008	-0.01749811	0.01749811
112	0	-543.9235	-543.9086	-0.01483736	0.01483736
113	1	-547.3198	-547.309	-0.01088267	0.01088267
114	0	-544.6366	-544.6204	-0.01621945	0.01621945
115	1	-545.6686	-545.6568	-0.01177254	0.01177254
116	0	-545.6059	-545.5886	-0.01723055	0.01723055
117	1	-549.2812	-549.2615	-0.01971543	0.01971543
118	0	-543.8652	-543.8509	-0.01432132	0.01432132
119	1	-544.2714	-544.2583	-0.0130738	0.0130738
120	0	-545.1238	-545.107	-0.01677231	0.01677231
121	1	-545.6466	-545.6294	-0.01726655	0.01726655
122	0	-544.2738	-544.2607	-0.01307027	0.01307027
123	1	-543.8698	-543.8556	-0.01419693	0.01419693
124	0	-544.3953	-544.3794	-0.01588524	0.01588524
125	1	-544.1633	-544.1501	-0.0132496	0.0132496
126	0	-543.9057	-543.891	-0.01475331	0.01475331
127	1	-544.8573	-544.8408	-0.01648499	0.01648499
128	0	-545.7044	-545.6871	-0.01731703	0.01731703
129	1	-543.8891	-543.8751	-0.01402196	0.01402196
130	0	-544.0814	-544.066	-0.01531211	0.01531211
131	1	-545.5418	-545.5299	-0.01185806	0.01185806
132	0	-544.0327	-544.0175	-0.01519286	0.01519286
133	1	-543.9134	-543.8995	-0.01389173	0.01389173
134	0	-544.0831	-544.0697	-0.01340344	0.01340344
135	1	-544.7978	-544.7814	-0.01641629	0.01641629
136	0	-543.8686	-543.8543	-0.01421769	0.01421769
137	1	-544.3222	-544.3065	-0.01577075	0.01577075
138	0	-544.1176	-544.1043	-0.01333401	0.01333401
139	1	-544.0012	-543.9861	-0.01510653	0.01510653
140	0	-543.8812	-543.8666	-0.01459715	0.01459715
141	1	-543.8887	-543.8747	-0.01402476	0.01402476
142	0	-544.4296	-544.4168	-0.01285693	0.01285693
143	1	-543.9805	-543.9655	-0.01504445	0.01504445
144	0	-543.9863	-543.9712	-0.01506229	0.01506229
145	1	-543.8673	-543.8528	-0.01443072	0.01443072
146	0	-544.2855	-544.2724	-0.01305289	0.01305289
147	1	-543.8951	-543.8805	-0.01469434	0.01469434
148	0	-544.4763	-544.4603	-0.01600403	0.01600403
149	1	-543.9567	-543.9417	-0.01496599	0.01496599
150	0	-543.9899	-543.9748	-0.01507316	0.01507316
151	1	-545.7194	-545.7021	-0.01733004	0.01733004
152	0	-543.8727	-543.8585	-0.01415951	0.01415951
153	1	-543.9173	-543.9035	-0.0138742	0.0138742
154	0	-545.8321	-545.8146	-0.01742613	0.01742613
155	1	-543.8796	-543.865	-0.01458377	0.01458377
156	0	-544.1119	-544.0965	-0.01538049	0.01538049
157	1	-544.4839	-544.4679	-0.01601486	0.01601486
158	0	-543.8842	-543.8696	-0.01462141	0.01462141
159	1	-544.4044	-544.3885	-0.0158991	0.0158991
160	0	-543.956	-543.9422	-0.01372901	0.01372901
